date,value
2014-03-14,10.97
2014-04-15,11.47
2014-05-16,11.97
2014-06-17,12.17
2014-07-18,12.97
2014-08-19,13.07
2014-09-20,13.97
2014-10-21,13.07
2014-11-22,12.97
2014-12-22,12.57
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-29,11.95
2014-12-29,11.95
2014-12-29,11.95
2014-12-29,11.95
2014-12-29,11.95
2014-12-29,11.95
2014-12-29,11.95
2014-12-29,11.95
2014-12-29,11.95
2014-12-29,11.95
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-29,12.00
2014-12-30,12.17
2014-12-30,12.17
2014-12-30,12.17
2014-12-30,12.17
2014-12-30,12.17
2014-12-30,12.17
2014-12-30,12.17
2014-12-30,12.17
2014-12-30,12.17
2014-12-30,12.17
2014-12-30,12.17
2014-12-31,11.94
2014-12-31,11.94
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.91
2015-01-05,12.99
2015-01-05,12.99
2015-01-04,11.66
2015-01-04,11.71
2015-01-05,12.99
2015-01-05,12.99
2015-01-05,13.02
2015-01-05,13.02
2015-01-05,13.02
2015-01-05,13.02
2015-01-05,13.02
2015-01-05,13.02
2015-01-05,13.02
2015-01-05,13.02
2015-01-05,13.02
2015-01-05,13.02
2015-01-05,13.02
2015-01-05,13.02
2015-01-05,13.02
2015-01-05,13.02
2015-01-06,12.89
2015-01-06,12.89
2015-01-06,12.89
2015-01-06,12.89
2015-01-06,12.89
2015-01-06,12.89
2015-01-06,12.89
2015-01-06,12.89
2015-01-06,12.89
2015-01-06,12.89
2015-01-06,12.89
2015-01-06,12.89
2015-01-06,12.89
2015-01-06,12.89
2015-01-06,12.89
2015-01-06,12.89
2015-01-06,12.89
2015-01-06,12.89
2015-01-06,12.89
2015-01-06,12.91
2015-01-06,12.91
2015-01-06,12.91
2015-01-06,12.94
2015-01-06,12.94
2015-01-06,12.94
2015-01-06,12.94
2015-01-06,12.97
2015-01-06,12.95
2015-01-06,12.95
2015-01-06,12.95
2015-01-06,12.95
2015-01-06,12.95
2015-01-06,12.95
2015-01-06,12.95
2015-01-06,12.95
2015-01-06,12.95
2015-01-06,12.92
2015-01-06,12.92
2015-01-06,12.88
2015-01-06,12.88
2015-01-06,12.84
2015-01-06,12.84
2015-01-06,12.81
2015-01-06,12.81
2015-01-06,12.79
2015-01-06,12.79
2015-01-06,12.78
2015-01-06,12.78
2015-01-06,12.80
2015-01-06,12.80
2015-01-06,12.80
2015-01-06,12.80
2015-01-07,12.84
2015-01-07,12.84
2015-01-07,12.86
2015-01-07,12.86
2015-01-07,12.88
2015-01-07,12.88
2015-01-07,12.88
2015-01-07,12.88
2015-01-07,12.88
2015-01-07,12.88
2015-01-07,12.89
2015-01-07,12.89
2015-01-07,12.88
2015-01-07,12.88
2015-01-07,12.86
2015-01-07,12.86
2015-01-07,12.86
2015-01-07,12.86
2015-01-07,12.84
2015-01-07,12.84
2015-01-07,12.81
2015-01-07,12.81
2015-01-07,12.81
2015-01-07,12.81
2015-01-07,12.81
2015-01-07,12.81
2015-01-07,12.81
2015-01-07,12.81
2015-01-07,12.81
2015-01-07,12.81
2015-01-07,12.81
2015-01-07,12.81
2015-01-07,12.81
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.78
2015-01-07,12.76
2015-01-07,12.76
2015-01-07,12.72
2015-01-07,12.72
2015-01-07,12.72
2015-01-07,12.72
2015-01-07,12.72
2015-01-07,12.72
2015-01-07,12.72
2015-01-07,12.72
2015-01-07,12.72
2015-01-07,12.72
2015-01-07,12.72
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.66
