date,value
2014-03-14,10.97
2014-04-15,11.47
2014-05-16,11.97
2014-06-17,12.17
2014-07-18,12.97
2014-08-19,13.07
2014-09-20,13.97
2014-10-21,13.07
2014-11-22,12.97
2014-12-22,12.57
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,11.97
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-23,12.42
2014-12-29,12.83
2014-12-29,12.83
2014-12-29,12.83
2014-12-29,12.83
2014-12-29,12.83
2014-12-29,12.83
2014-12-29,12.83
2014-12-29,12.83
2014-12-29,12.83
2014-12-29,12.83
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-29,12.82
2014-12-30,12.66
2014-12-30,12.66
2014-12-30,12.66
2014-12-30,12.66
2014-12-30,12.66
2014-12-30,12.66
2014-12-30,12.66
2014-12-30,12.66
2014-12-30,12.66
2014-12-30,12.66
2014-12-30,12.66
2014-12-30,12.60
2014-12-30,12.60
2015-01-05,12.83
2015-01-05,12.83
2015-01-05,12.83
2015-01-05,12.83
2015-01-05,12.83
2015-01-05,12.83
2015-01-05,12.83
2015-01-05,12.83
2015-01-05,12.83
2015-01-05,12.83
2015-01-05,12.83
2015-01-05,12.83
2015-01-05,12.83
2015-01-05,12.83
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.94
2015-01-05,12.93
2015-01-05,12.93
2015-01-05,12.93
2015-01-05,12.93
2015-01-05,12.93
2015-01-05,12.93
2015-01-05,12.93
2015-01-05,13.00
2015-01-04,12.88
2015-01-04,12.80
2015-01-05,12.64
2015-01-05,12.64
2015-01-05,12.58
2015-01-05,12.58
2015-01-05,12.58
2015-01-05,12.58
2015-01-05,12.58
2015-01-05,12.58
2015-01-05,12.58
2015-01-05,12.58
2015-01-05,12.58
2015-01-05,12.58
2015-01-05,12.58
2015-01-05,12.58
2015-01-05,12.58
2015-01-05,12.58
2015-01-06,12.40
2015-01-06,12.40
2015-01-06,12.40
2015-01-06,12.40
2015-01-06,12.40
2015-01-06,12.40
2015-01-06,12.40
2015-01-06,12.40
2015-01-06,12.40
2015-01-06,12.40
2015-01-06,12.40
2015-01-06,12.40
2015-01-06,12.40
2015-01-06,12.40
2015-01-06,12.40
2015-01-06,12.40
2015-01-06,12.40
2015-01-06,12.40
2015-01-06,12.35
2015-01-06,12.37
2015-01-06,12.37
2015-01-06,12.37
2015-01-06,12.37
2015-01-06,12.37
2015-01-06,12.40
2015-01-06,12.40
2015-01-06,12.43
2015-01-06,12.43
2015-01-06,12.43
2015-01-06,12.43
2015-01-06,12.43
2015-01-06,12.43
2015-01-06,12.43
2015-01-06,12.43
2015-01-06,12.43
2015-01-06,12.39
2015-01-06,12.39
2015-01-06,12.32
2015-01-06,12.32
2015-01-06,12.27
2015-01-06,12.27
2015-01-06,12.31
2015-01-06,12.31
2015-01-06,12.34
2015-01-06,12.34
2015-01-06,12.35
2015-01-06,12.35
2015-01-06,12.40
2015-01-06,12.40
2015-01-06,12.45
2015-01-06,12.45
2015-01-06,12.45
2015-01-06,12.49
2015-01-07,12.53
2015-01-07,12.53
2015-01-07,12.55
2015-01-07,12.55
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.62
2015-01-07,12.62
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.66
2015-01-07,12.66
2015-01-07,12.75
2015-01-07,12.75
2015-01-07,12.74
2015-01-07,12.74
2015-01-07,12.76
2015-01-07,12.76
2015-01-07,12.77
2015-01-07,12.77
2015-01-07,12.77
2015-01-07,12.77
2015-01-07,12.77
2015-01-07,12.77
2015-01-07,12.77
2015-01-07,12.77
2015-01-07,12.73
2015-01-07,12.73
2015-01-07,12.73
2015-01-07,12.73
2015-01-07,12.73
2015-01-07,12.73
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.65
2015-01-07,12.69
2015-01-07,12.69
2015-01-07,12.70
2015-01-07,12.70
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.64
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
2015-01-07,12.63
