OBJECTID,Lat,Long,Distance,Elevation
8,40.14134112,-79.26523764,10500,1593.330514
9,40.14401064,-79.26789008,12000,1543.222011
10,40.14774371,-79.26858373,13500,1494.461568
11,40.15105575,-79.27034079,15000,1449.763627
12,40.15438956,-79.27261707,16500,1409.643624
13,40.15787938,-79.27463883,18000,1371.081238
14,40.16144382,-79.27399392,19500,1337.259591
15,40.16279157,-79.2701122,21000,1319.269137
16,40.1652796,-79.26728758,22500,1303.278647
17,40.16891891,-79.26526861,24000,1285.679876
18,40.17186874,-79.26751843,25500,1270.307947
19,40.17404926,-79.26688921,27000,1265.061386
20,40.17568818,-79.26275437,28500,1259.198667
21,40.17822842,-79.26008136,30000,1255.868466
22,40.18171686,-79.25987519,31500,1251.777529
23,40.18419748,-79.25712616,33000,1247.172658
24,40.18504842,-79.2532883,34500,1242.935341
25,40.18662374,-79.2504828,36000,1239.013411
26,40.18955531,-79.24831884,37500,1235.823783
27,40.19334349,-79.24797209,39000,1231.401438
28,40.19651961,-79.24912465,40500,1228.093264
29,40.20021213,-79.2491525,42000,1225.688203
30,40.2036262,-79.24682564,43500,1217.658215
31,40.20648231,-79.24372362,45000,1210.302357
32,40.20755013,-79.23920376,46500,1198.994833
33,40.20631298,-79.23423131,48000,1195.332022
34,40.20934804,-79.23222433,49500,1189.670451
35,40.2132482,-79.2315138,51000,1186.119778
36,40.21611315,-79.23015012,52500,1179.579224
37,40.21828801,-79.22565341,54000,1177.914274
38,40.21933707,-79.22074955,55500,1174.112192
39,40.22318244,-79.22004331,57000,1169.09942
40,40.22711174,-79.22063005,58500,1165.216338
41,40.22999719,-79.22336522,60000,1159.37124
42,40.23281612,-79.22645942,61500,1154.786295
43,40.23462166,-79.23077785,63000,1147.865973
44,40.23687781,-79.23332327,64500,1145.174058
45,40.2393622,-79.23694355,66000,1141.502337
46,40.24152708,-79.24148465,67500,1137.144571
47,40.24483396,-79.24449301,69000,1138.026757
48,40.24671524,-79.24902161,70500,1133.390648
49,40.24878843,-79.25347513,72000,1133.827486
50,40.24915282,-79.25857919,73500,1132.98585
51,40.25031151,-79.26219205,75000,1130.532529
52,40.25162895,-79.26713992,76500,1128.391893
53,40.25455958,-79.26636102,78000,1126.73295
54,40.25779858,-79.26406425,79500,1124.80057
55,40.26039909,-79.2669105,81000,1119.272463
56,40.26113845,-79.27214691,82500,1118.675929
57,40.26059935,-79.27737465,84000,1118.720283
58,40.25845248,-79.28195628,85500,1115.702667
59,40.2600735,-79.28583122,87000,1114.693224
60,40.2637259,-79.2878544,88500,1107.663969
61,40.26622063,-79.29201646,90000,1100.913957
62,40.26861039,-79.29613495,91500,1093.791086
63,40.27218152,-79.29811579,93000,1087.008934
64,40.27434227,-79.3026375,94500,1080.731304
65,40.27622789,-79.30724265,96000,1073.004289
66,40.28033083,-79.30731446,97500,1066.178484
67,40.28399514,-79.30960842,99000,1059.917774
68,40.28594453,-79.31434249,100500,1052.713503
69,40.28626874,-79.31961743,102000,1047.639054
70,40.28820827,-79.32382075,103500,1042.119758
71,40.29094549,-79.32773518,105000,1036.922558
72,40.29257337,-79.33233722,106500,1030.128592
73,40.29156246,-79.33740469,108000,1026.749231
74,40.29195464,-79.3427469,109500,1021.052816
75,40.29197748,-79.3480812,111000,1016.404292
76,40.29064318,-79.35259746,112500,1011.06742
77,40.29333672,-79.35541676,114000,1005.083051
78,40.29500934,-79.3595313,115500,1000.502611
79,40.29560431,-79.36453988,117000,995.2839847
80,40.29318769,-79.36879609,118500,991.765452
81,40.29297937,-79.37300837,120000,987.4995991
82,40.29583623,-79.37650924,121500,983.2990265
83,40.29865429,-79.38027257,123000,983.6849017
84,40.3013646,-79.38420434,124500,982.8557807
85,40.30345077,-79.3837135,126000,984.4284172
86,40.305646,-79.38162175,127500,981.3866717
87,40.30585808,-79.38538949,129000,976.0779345
88,40.30714899,-79.39008915,130500,969.0011202
89,40.31056374,-79.39015749,132000,973.2454466
90,40.31293603,-79.38582263,133500,972.9400706
91,40.3148248,-79.38906899,135000,962.2040503
92,40.31754048,-79.3927814,136500,972.2902704
93,40.32085406,-79.39161511,138000,957.7864105
94,40.32165228,-79.38634917,139500,957.2000885
95,40.32217969,-79.38137219,141000,959.0809045
96,40.3252407,-79.38409557,142500,969.6267906
97,40.32868342,-79.38621744,144000,965.591822
98,40.32629438,-79.39018885,145500,957.6320204
99,40.32366226,-79.39426548,147000,955.3894589
100,40.32561047,-79.3981885,148500,953.0517803
101,40.32959182,-79.39955683,150000,952.2598051
102,40.33356139,-79.3998132,151500,951.9017642
103,40.33728737,-79.39952315,153000,950.5799365
104,40.34014095,-79.39565014,154500,948.6304359
105,40.34292284,-79.3917034,156000,947.6836701
106,40.34652765,-79.38917495,157500,952.4366228
107,40.34961345,-79.38580005,159000,943.9610861
108,40.35294129,-79.3826709,160500,945.6434578
109,40.3563585,-79.38358933,162000,940.7789677
110,40.35580526,-79.38837056,163500,939.3269797
111,40.35315207,-79.39156629,165000,937.6662347
112,40.3532307,-79.3964802,166500,936.0226107
113,40.35478807,-79.40142578,168000,934.4613882
114,40.35687872,-79.40572905,169500,945.6202291
115,40.36087744,-79.40635773,171000,932.8554107
116,40.36369507,-79.4093079,172500,929.621929
117,40.36700909,-79.41121306,174000,933.100112
118,40.37041841,-79.41415529,175500,934.2135831
119,40.37440762,-79.41523035,177000,934.3210154
120,40.37471444,-79.41966538,178500,925.5744449
121,40.37677228,-79.42398262,180000,925.9435995
122,40.38008425,-79.42698392,181500,925.3232356
123,40.38405063,-79.42563924,183000,924.5457782
124,40.38783127,-79.42537362,184500,924.6678285
125,40.39094722,-79.42535765,186000,925.9164661
126,40.39317474,-79.42121351,187500,922.7422574
127,40.39344145,-79.42523147,189000,923.9432363
128,40.39281451,-79.42999296,190500,923.5555589
129,40.39535091,-79.43388356,192000,922.8071373
130,40.39945359,-79.43395491,193500,922.6200069
131,40.40215023,-79.43738177,195000,923.5992126
132,40.40477073,-79.43854583,196500,922.2300266
133,40.40500768,-79.433171,198000,922.0422955
134,40.40720724,-79.42923528,199500,926.6112216
135,40.41054809,-79.43194772,201000,921.6985722
136,40.41401103,-79.43477745,202500,921.4916174
137,40.41408803,-79.43908591,204000,921.3300184
138,40.41507218,-79.44393,205500,921.3300184
139,40.41852264,-79.44255419,207000,921.5419794
140,40.42212028,-79.4400306,208500,921.6500124
141,40.42492209,-79.44259292,210000,921.4782008
142,40.42401103,-79.44767408,211500,920.7844466
143,40.42480467,-79.45253898,213000,921.0064199
144,40.42865298,-79.45301263,214500,921.102338
145,40.43029513,-79.44940919,216000,921.1776307
146,40.42908454,-79.44435029,217500,921.4214309
147,40.4317621,-79.44079562,219000,921.2461151
148,40.43505517,-79.43765891,220500,920.9887982
149,40.43861675,-79.43974631,222000,920.8817664
150,40.44078533,-79.43665433,223500,920.80347
151,40.44371956,-79.43940642,225000,920.9207144
152,40.44482169,-79.44457798,226500,920.9802877
153,40.44814866,-79.44688835,228000,920.8276998
154,40.45009644,-79.45120878,229500,921.038159
155,40.45145278,-79.45614814,231000,920.9763829
156,40.45516489,-79.45706178,232500,921.5471858
157,40.45665243,-79.45261689,234000,920.101806
158,40.4591024,-79.44899701,235500,870.4178255
159,40.4627291,-79.44957079,237000,866.7853525
160,40.46559478,-79.45339655,238500,863.4808834
161,40.46858364,-79.45708998,240000,860.1211463
162,40.47012132,-79.46188469,241500,856.6404602
163,40.46674971,-79.46238686,243000,854.031848
164,40.46359906,-79.46286842,244500,851.7670591
165,40.46502482,-79.46775147,246000,849.458216
166,40.46845232,-79.46987406,247500,848.3121047
167,40.47227283,-79.46898839,249000,844.6495947
168,40.47615093,-79.46808982,250500,845.9704212
169,40.47872036,-79.46545199,252000,841.0252317
170,40.47793012,-79.46029691,253500,837.7443917
171,40.47693974,-79.45513346,255000,834.5594198
172,40.4787672,-79.45169704,256500,831.6831279
173,40.48059366,-79.45503515,258000,828.8539441
174,40.48415769,-79.45650719,259500,826.5584174
175,40.48692571,-79.45321325,261000,824.9979458
176,40.49092226,-79.45274672,262500,823.7046533
177,40.49481407,-79.45447729,264000,821.9015329
178,40.49883295,-79.45537621,265500,820.7173748
179,40.50286724,-79.45454149,267000,817.6860921
180,40.50684153,-79.45402942,268500,816.7343701
181,40.51040936,-79.45663587,270000,815.841771
